 l	b	Vlsr	...
 12.41   0.51    34.1  swa+04    0.11   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    3.7    4.9    15.8    3.5    4.7    15.2    3.5   5.1     15.2 
 12.63  -0.02    33.5  swa+04    0.50   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.9    5.0    60.2   12.2    4.7    58.0   12.9   5.0     60.2 
 12.68  -0.18    57.4   pmg08    0.32   1.40  ccg+98  -100000    -100000  -100000     knear   pmg08    5.0    3.8    26.5    4.6    3.7    25.1    4.7   4.1     25.4 
 12.78   0.33    15.8  swa+04    0.37   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   14.5    6.4    58.9   13.6    6.0    56.4   14.3   6.3     58.4 
 12.80  -0.20    36.0  pbd+03   41.70   2.70  pbd+03  -100000    -100000  -100000     knear    gg76    3.8    4.9   114.2    3.6    4.6   110.2    3.6   5.1    110.2 
 12.80   0.40    20.7  pbd+03    4.10   2.70  pbd+03   2.4    0.2    rus03  -100000    -100000    -100000   -100000     38.8  -100000   -100000     38.8  -100000   -100000     38.8 
 12.91  -0.26    31.7  swa+04    1.06   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   13.1    5.1    78.1   12.3    4.9    74.9   13.1   5.1     78.1 
 13.13  -0.15    40.6  swa+04    0.24   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.5    4.7    46.2   11.8    4.4    44.5   12.5   4.7     46.2 
 13.20   0.00    55.1  pbd+03    7.00   2.70  pbd+03  -100000    -100000  -100000     knear    gg76    4.8    4.0    73.6    4.4    3.8    69.5    4.5   4.2     70.5 
 13.40   0.10    18.3  pbd+03   10.20   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   14.2    6.3   172.0   13.4    5.9   165.5   14.1   6.2    171.2 
 13.50  -0.20    11.3  pbd+03    0.60   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     15.6  -100000   -100000     15.6  -100000   -100000     15.6 
 13.80  -0.80    23.9  pbd+03   14.20   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     44.8  -100000   -100000     44.8  -100000   -100000     44.8 
 13.88   0.28    51.0  swa+04    4.15   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    4.5    4.3    60.4    4.2    4.1    57.7    4.2   4.5     57.7 
 14.00  -0.10    35.7  pbd+03    3.40   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.6    5.1    47.8    3.4    4.8    46.0    3.4   5.2     46.0 
 14.09   0.10    16.3   pmg08    0.11   1.40  ccg+98  -100000    -100000  -100000     kfar    pmg08   14.5    6.6    37.7   13.6    6.1    36.1   14.3   6.4     37.4 
 14.10  -0.50    20.6  pbd+03    1.70   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     22.1  -100000   -100000     22.1  -100000   -100000     22.1 
 14.20  -0.20    36.9  pbd+03   28.80   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.7    5.0    99.2    3.4    4.8    93.8    3.5   5.2     95.6 
 14.20  -0.10    36.1  pbd+03    1.90   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.6    5.1    39.3    3.4    4.8    37.8    3.4   5.2     37.8 
 14.33  -0.64    27.6  swa+04    0.39   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    3.0    5.6    21.0    2.8    5.3    20.1    2.9   5.8     20.5 
 14.40  -0.70    11.9  pbd+03    2.90   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    1.5    7.0    26.4  -100000   -100000     26.4  -100000   -100000     26.4 
 14.60   0.00    34.9  pbd+03   40.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.5    5.2   106.6    3.3    4.9   102.5    3.3   5.4    102.5 
 14.60   0.10    37.3  pbd+03   32.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.6    5.0   100.8    3.4    4.8    97.0    3.5   5.2     98.9 
 14.68  -0.50    27.5  swa+04    0.49   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   13.5    5.7    61.6   12.7    5.4    59.1   13.4   5.6     61.3 
 15.00  -0.70    13.9  pbd+03  489.00   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    1.7    6.9   145.7  -100000   -100000    145.7  -100000   -100000    145.7 
 15.10  -0.90    13.8  pbd+03    4.20   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    1.7    6.9    29.8  -100000   -100000     29.8  -100000   -100000     29.8 
 15.10  -0.70    19.1  pbd+03  552.00   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    2.2    6.4   151.8  -100000   -100000    151.8  -100000   -100000    151.8 
 15.20  -0.60    13.9  pbd+03    5.60   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    1.7    6.9    32.9  -100000   -100000     32.9  -100000   -100000     32.9 
 15.20  -0.80    23.7  pbd+03    7.10   2.70  pbd+03   1.6    0.25   rus03   knear   pdd04    2.6    6.0    35.6  -100000   -100000     35.6  -100000   -100000     35.6 
 15.20   1.50    17.5   rus03  -100000    -100000   -100000     2.8    0.6    rus03  -100000    -100000    -100000   -100000     50.0  -100000   -100000     50.0  -100000   -100000     50.0 
 15.64  -0.24    61.8    ab09    0.52   4.85     PMN  -100000    -100000  -100000     kfar     ab09   11.6    4.1    56.8   11.0    3.9    54.8   11.7   4.2     57.1 
 16.30  -0.20    49.5  pbd+03   14.00   2.70  pbd+03   4.0    0.6    rus03   knear    ab09    4.1    4.7    82.1  -100000   -100000     82.1  -100000   -100000     82.1 
 16.40  -0.50    42.7  pbd+03    8.10   2.70  pbd+03   4.0    0.6    rus03  -100000    -100000    -100000   -100000     68.4  -100000   -100000     68.4  -100000   -100000     68.4 
 16.40  -0.20    44.5  pbd+03    6.00   2.70  pbd+03   4.0    0.6    rus03   knear    ab09    3.9    4.9    61.9  -100000   -100000     61.9  -100000   -100000     61.9 
 16.58  -0.05    34.7  swa+04    0.28   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   13.0    5.5    49.9   12.3    5.2    48.1   13.0   5.4     49.9 
 16.60  -0.30    44.9  pbd+03    2.30   2.70  pbd+03   4.0    0.6    rus03  -100000    -100000    -100000   -100000     45.0  -100000   -100000     45.0  -100000   -100000     45.0 
 16.90  -1.10  -100000    pbd+03    1.30   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     20.2  -100000   -100000     20.2  -100000   -100000     20.2 
 16.90   0.80    26.3  pbd+03  169.00   2.70  pbd+03   2.0    0.25   rus03   knear   pdd04    2.6    6.0   118.7  -100000   -100000    118.7  -100000   -100000    118.7 
 17.00   0.80    24.5  pbd+03  107.00   2.70  pbd+03   2.0    0.25   rus03   knear   pdd04    2.5    6.2   101.9  -100000   -100000    101.9  -100000   -100000    101.9 
 17.00   0.90    26.4  pbd+03   21.10   2.70  pbd+03   2.0    0.25   rus03   knear   pdd04    2.6    6.0    59.3  -100000   -100000     59.3  -100000   -100000     59.3 
 17.10   0.80    27.4  pbd+03    8.80   2.70  pbd+03   2.0    0.25   rus03  -100000    -100000    -100000   -100000     44.3  -100000   -100000     44.3  -100000   -100000     44.3 
 17.64   0.15    25.2  swa+04    0.29   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   13.7    6.2    52.3   12.9    5.8    50.2   13.6   6.1     52.0 
 18.10  -0.30    53.8  pbd+03    5.80   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    4.2    4.7    63.2    3.9    4.5    60.2    3.9   4.9     60.2 
 18.20  -0.18    46.1    ab09    2.60   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   12.4    5.1    99.6   11.7    4.8    95.8   12.4   5.1     99.6 
 18.20  -0.40    43.3  pbd+03    3.10   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.6    5.2    46.3    3.4    4.9    44.6    3.4   5.4     44.6 
 18.20  -0.30    47.0  pbd+03   27.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.8    5.0    98.8    3.6    4.8    95.3    3.6   5.2     95.3 
 18.30  -0.40    30.5  pbd+03    1.70   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    2.8    5.9    32.1    2.6    5.6    30.6    2.7   6.0     31.3 
 18.30  -0.30    50.7  pbd+03    5.40   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    4.0    4.9    59.8    3.7    4.6    56.8    3.8   5.1     57.8 
 18.30   1.90    29.9  pbd+03    5.90   2.70  pbd+03   2.0    0.2    rus03   knear   pdd04    2.8    5.9    38.8  -100000   -100000     38.8  -100000   -100000     38.8 
