Longitude(deg)  V(km/s)
270.498	-3.248
270.657	-3.248
270.927	-2.154
271.228	-2.154
271.391	-3.248
271.501	-4.742
271.740	-4.742
271.906	-3.012
272.041	-8.519
272.335	-8.519
272.394	-4.631
272.643	-0.950
272.802	-3.316
272.806	-6.125
273.045	-4.534
273.121	-11.121
273.256	-3.066
273.494	-2.112
273.654	-4.353
273.982	-4.353
274.225	-4.353
274.630	-4.353
274.789	-5.944
275.107	-5.944
275.194	-1.709
275.488	-3.411
275.650	-4.365
275.820	-1.668
275.955	-3.162
276.173	-2.207
276.604	-5.623
276.739	-1.943
276.961	-5.844
276.985	-3.119
277.123	-9.996
277.282	-9.996
277.393	-12.361
277.632	-11.088
277.711	-8.529
277.871	-4.322
278.006	-8.543
278.033	-13.871
278.279	-8.446
278.328	-4.461
278.411	-6.052
278.594	-4.240
278.729	-7.132
278.943	-4.447
279.027	-9.926
279.272	-4.364
279.407	-0.905
279.546	-4.447
279.664	-11.106
279.743	-9.612
279.902	-11.203
280.151	-8.636
280.234	-13.811
280.476	-10.823
280.635	-12.317
280.715	-11.045
280.877	-12.345
281.231	-13.564
281.525	-12.387
281.719	-16.276
281.968	-12.443
282.186	-19.044
282.186	-15.031
282.400	-20.317
282.670	-21.521
282.778	-23.984
282.937	-22.711
283.047	-24.302
283.127	-20.261
283.286	-18.670
283.445	-19.943
283.633	-18.767
283.796	-22.849
284.014	-21.562
284.093	-25.326
284.256	-24.053
284.398	-20.164
284.453	-16.000
284.619	-15.046
284.675	-23.859
284.869	-25.146
285.028	-25.146
285.346	-22.697
285.481	-23.887
285.616	-21.009
285.831	-18.865
285.997	-21.259
286.239	-22.864
286.429	-25.091
286.703	-18.809
286.810	-23.914
287.129	-21.562
287.288	-27.955
287.526	-29.228
287.765	-29.228
287.817	-26.765
288.032	-26.765
288.350	-28.038
288.568	-25.367
288.786	-23.749
288.866	-30.695
289.163	-31.871
289.405	-26.600
289.596	-23.611
289.679	-22.656
289.893	-22.656
290.135	-24.247
290.243	-10.961
290.533	-22.641
290.613	-26.820
290.920	-29.262
291.003	-27.671
291.114	-29.262
291.273	-27.767
291.353	-29.373
291.512	-26.481
291.602	-29.124
291.841	-29.124
292.215	-29.124
292.360	-29.250
292.464	-30.536
292.581	-31.809
292.761	-30.536
292.820	-29.235
293.115	-33.220
293.194	-27.893
293.512	-31.795
293.831	-40.997
293.831	-30.508
293.941	-42.173
294.156	-42.173
294.395	-42.173
294.474	-33.193
294.689	-34.465
294.852	-29.290
295.011	-31.643
295.114	-39.681
295.229	-37.468
295.250	-34.326
295.353	-38.408
295.512	-37.135
295.647	-47.500
295.730	-31.932
295.886	-39.667
296.236	-39.985
296.315	-38.394
296.966	-39.667
297.478	-38.381
297.668	-40.968
297.931	-39.362
298.121	-46.185
298.229	-39.362
298.336	-41.064
298.471	-37.093
298.609	-49.921
298.859	-39.652
298.994	-42.322
299.232	-43.608
299.399	-46.404
299.561	-48.660
299.800	-48.660
300.018	-49.946
300.122	-42.265
300.281	-42.265
300.336	-45.903
300.471	-47.398
300.710	-47.398
300.869	-46.000
301.063	-43.619
301.254	-43.730
301.261	-52.395
301.503	-53.889
301.583	-55.480
301.718	-52.366
301.963	-56.448
302.098	-52.381
302.237	-53.889
302.403	-46.016
302.483	-44.521
302.618	-42.155
302.697	-44.839
302.856	-42.016
302.995	-48.742
303.074	-46.030
303.296	-55.191
303.590	-44.881
303.708	-50.099
303.867	-50.099
304.106	-50.099
304.217	-56.699
304.507	-51.510
304.746	-51.510
304.825	-55.273
305.068	-56.561
305.178	-59.134
305.393	-59.134
305.556	-57.847
305.715	-56.561
306.009	-55.288
306.175	-57.847
306.334	-57.847
306.684	-56.353
306.746	-61.695
306.885	-53.779
307.047	-59.316
307.075	-66.942
307.348	-68.450
307.642	-68.450
307.802	-66.845
307.936	-68.339
308.175	-68.339
308.501	-65.793
308.719	-69.543
308.802	-67.731
308.961	-65.890
309.041	-64.299
309.279	-69.461
309.442	-65.683
309.660	-58.931
309.684	-64.396
309.819	-61.795
310.037	-60.397
310.116	-65.592
310.250	-68.415
310.330	-65.592
310.465	-61.828
310.600	-60.556
310.735	-61.732
310.922	-70.934
311.033	-64.166
311.271	-64.166
311.430	-68.165
311.538	-60.402
311.697	-57.911
311.856	-64.526
311.936	-71.029
312.174	-71.983
312.340	-66.780
312.475	-65.508
312.690	-65.508
312.929	-65.508
313.122	-61.536
313.206	-65.521
313.372	-61.550
313.448	-64.124
313.586	-61.662
313.801	-67.112
313.860	-63.141
314.206	-65.826
314.289	-68.414
314.614	-65.494
314.697	-73.534
314.832	-62.892
315.151	-65.438
315.286	-64.468
315.383	-61.773
315.407	-66.837
315.566	-68.110
315.729	-64.292
315.808	-66.672
315.947	-68.166
316.106	-69.660
316.241	-68.042
316.376	-62.894
316.483	-65.343
316.566	-62.894
316.722	-64.389
316.881	-61.843
317.199	-60.348
317.306	-61.939
317.386	-64.513
317.545	-64.513
317.704	-68.056
317.760	-66.657
317.998	-65.481
318.237	-66.975
318.317	-71.998
318.476	-73.589
318.635	-69.701
318.742	-68.303
318.960	-69.591
319.151	-69.591
319.206	-72.316
319.286	-81.132
319.469	-75.872
319.604	-70.906
319.829	-73.423
319.964	-71.818
320.130	-75.885
320.210	-79.745
320.321	-81.365
320.483	-74.903
320.622	-76.065
320.728	-81.246
320.866	-74.644
321.029	-77.411
321.053	-82.600
321.219	-85.299
321.461	-84.026
321.541	-79.931
321.700	-79.931
321.780	-82.393
321.994	-83.984
322.074	-85.161
322.233	-77.313
