No	Name	PK		Dist	S5GHz	Diam	Tb	Rad	Mi	DMi	DTb
61	J320	190-17.1 	5.50 	23 	7.1 	32.20 	0.095 	9e-02 	6.29 	5.38
62	J900	194+02.1 	6.80 	100 	6.0 	196.00 	0.099 	2e-01 	3.49 	3.64
63	NGC2392	197+17.1 	0.54 	251 	46.0 	8.38 	0.060 	1e-02 	1.71 	1.26
64	NGC1535	206-40.1 	1.50 	160 	18.4 	33.40 	0.067 	4e-02 	2.39 	2.05
65	IC418	215-24.1 	1.60	1550 	12.4 	712.00 	0.048 	8e-02 	0.98 	1.18
66	NGC1360	220-53.1 	0.52 	225	370.0 	0.12 	0.466 	3e-01 	1.28 	0.59
67	IC2165	221-12.1 	2.50 	188 	7.7 	224.00 	0.047 	4e-02 	2.57 	2.72
68	M1-16	226+05.1 	6.80 	31 	3.6 	169.00 	0.059 	6e-02 	6.19 	6.35
69	M1-11	232-04.1 	4.10 	113 	2.2	1650.00 0.022 	2e-02 	3.90 	5.12
70	A15	233-16.1 	6.60 	22 	34.0 	1.35 	0.544 	2e+00 	4.98 	3.00
71	NGC2440	234+02.1 	2.60 	370 	18.0 	80.70 	0.113 	2e-01 	1.69 	1.60
72	M1-14	235-01.1 	5.70 	60 	4.7 	192.00 	0.065 	9e-02 	4.50 	4.67
73	M1-12	235-03.1 	7.00 	41 	1.8 	894.00 	0.031 	3e-02 	6.16 	7.57
74	M3-1	242-11.1	12.20 	24 	11.0 	14.00 	0.325 	1e+00 	5.76 	4.50
75	M3-6	254+05.1 	2.80 	75 	11.0 	43.80 	0.075 	6e-02 	3.57 	3.16
76	NGC3242	261+32.1 	1.10 	860 	40.0 	38.00 	0.107 	1e-01 	1.04 	0.91
77	HE2-5	264-12.1 	6.20 	29 	3.0 	228.00 	0.045 	4e-02 	6.56 	6.94
78	NGC2792	265+04.1 	3.10 	114 	50.0 	3.22 	0.376 	9e-01 	2.35 	1.56
79	PB4	275-04.1 	4.60 	71 	10.8 	43.00 	0.120 	2e-01 	3.66 	3.23
80	IC2501	281-05.1 	5.90 	261 	2.0	4610.00 0.029 	5e-02 	2.79 	4.10
81	MY60	283+02.1 	3.20 	60 	7.4 	77.40 	0.057 	4e-02 	4.18 	3.93
82	IC2553	285-05.1 	0.51 	92 	8.8 	84.00 	0.011 	7e-04 	3.40 	3.22
83	IC2448	285-14.1 	3.10 	73 	9.3 	59.70 	0.070 	6e-02 	3.71 	3.39
84	NGC3211	286-04.1 	3.70 	228 	16.0 	62.90 	0.144 	4e-01 	2.11 	1.94
85	IC2621	291-04.1 	4.70 	195 	5.0 	551.00 	0.057 	1e-01 	2.72 	3.17
86	PB8	292+04.1 	6.10 	27 	5.0 	76.30 	0.074 	8e-02 	6.22 	5.85
87	NGC3918	294+04.1 	1.50 	859 	16.0 	230.00 	0.058 	7e-02 	1.21 	1.30
