l 		b 		parallax 			vLSR 				μa cosd 			μd 
176.23 	 	-20.89 	 	6.820    	0.030 	 	19 	 	1 	 	4.02     	0.03 	 	-1.18 	 	0.05 	 
188.79 	 	1.03 	 	0.496      	0.031 	 	-2 	 	1 	 	-0.10    	0.10 	 	-3.91 	 	0.07 	
188.95 	 	0.89 	 	0.476 	 	0.006 	 	11 	 	3 	 	0.02 	 	0.01 	 	-2.02 	 	0.04  
192.16 	 	-3.84 	 	0.660 	 	0.040 	 	6 	 	3 	 	0.84 	 	0.16 	 	-2.22 	 	0.23 	  
192.60 	 	-0.05 	 	0.628 	 	0.027 	 	5 	 	1 	 	-0.14 	 	0.54 	 	-0.84 	 	1.76   
196.45 	 	-1.68 	 	0.189 	 	0.008 	 	20 	 	5 	 	-0.42 	 	0.01 	 	-0.12 	 	0.04 	  
209.01 	 	-19.38 	 	2.390 	 	0.030 	 	10 	 	5 	 	9.56 	 	0.10 	 	-3.83 	 	0.15 	  
232.62 	 	1.00 	 	0.596 	 	0.035 	 	23 	 	3 	 	-2.17 	 	0.06 	 	2.09 	 	0.46 	  
239.35 	 	-5.06 	 	0.880 	 	0.080 	 	18 	 	3 	 	-2.09 	 	0.16 	 	1.02 	 	0.61   
353.10 	 	16.89 	 	8.550 	 	0.500 	 	3 	 	3 	 	-3.88 	 	0.87 	 	-31.55 	 	0.69 	  
353.94 	 	15.84 	 	5.600 	 	1.500 	 	3 	 	3 	     -20.60 	 	0.70 	 	-32.40 	 	2.00 	  
