l        b      P   m(FW)  m(CC)    vr err_vr
100.4  1.1  17.856  12.74  12.92  -40.5 2.5
107.6  0.3  6.233  10.54  10.46  -32.3	1.
315.8  -4.0  5.273  8.88  8.69  -25.5	5.
299.6  1.1  5.826  9.78  9.63  -16.5	1.
303.3 4.4 4.690  9.29  9.11  -7.1	1.
299.4  0.4  6.733  9.40  9.32  -9.8	1.
302.3  3.8  6.220 10.80  10.69  -25.0	1.
299.2  -0.6  12.848  10.87  10.87  -33.6 2.5
296.8  -0.4  7.004  13.40  13.21  -15.4	2.5
298.0  -0.2  4.989  12.49  12.27  -14.3	2.5
299.9  -1.8  6.121  11.77  11.57  -35.1	2.5
300.9  -0.7  5.265  10.77  10.59  -2.7	2.5
300.9 1.6  12.213  13.42  13.35  -28.5	2.5
298.5  0.5  6.398  12.57  12.39  -34.3	2.5
301.7  3.1  3.837  10.60  10.35  -8.5	1.
300.4  3.4  3.343  8.00  7.78  -20.3	1.
76.9  -4.3  16.387  10.06  10.13  8.3	1.
64.8  2.5  3.846  9.80  9.53  -21.4	1.
84.4  4.0  15.107  11.85  11.91  -12.1	1.
84.4  -2.3  14.708  10.83  10.73  -20.4	1.
82.2  -3.5  20.130  12.31  12.42  -18.0	1.
82.9  -4.6  7.857  11.67  11.51  -11.9	1.
91.5  -8.5  4.865  11.34  11.17  -18.5	1.
84.8  1.4  10.141  11.44  11.38  -13.2	1.
71.1  1.4  17.071  12.16  12.18  -11.6	1.
76.5  -10.8  2.499  8.08  7.79  -1.6	1.
66.5  -0.1  7.818  11.82  11.70  -11.1	2.5
70.9  -0.6  5.955  10.79  10.63  -16.4	1.
85.5  -4.9  5.257  10.15  9.97  -5.1	1.
74.1  2.3  4.365  11.66  11.46  -12.7	2.5
77.6  2.3  11.211  11.31  11.24  -10.2	2.5
90.5  0.7  7.251  11.85  11.73  -20.7	2.5
87.5  1.6  4.049  11.40  11.16  -22.8	2.5
89.0  -3.0  3.284  10.18  9.93  -16.2	2.5
83.6  -8.0  3.331  8.84  8.62  -5.2	1.
271.7  -32.8  9.842  7.63  7.62  7.3	1.
195.7  11.9  10.152  7.85  7.87  6.8	5.
197.4  3.4  7.915  10.06  9.97  -0.1	1.
187.7  -0.1  5.530  12.09  11.91  12.0	5.
184.6  2.7  11.302  12.94  13.05  9.5	1.
193.3  7.6  3.788  12.40  12.25  45.0	1.
199.4  2.3  2.308  12.66  12.37  64.3	1.
198.1  2.8  3.136  12.14  11.94  16.0	1.
106.5  -2.6  4.984  11.37  11.16  -25.4	1.
106.5  -2.5  5.444  10.86  10.67  -25.3	1.
98.7  -4.0  4.324  11.78  11.56  -22.0	1.
105.8  -1.6  10.886  11.42  11.40  -30.0 5.
105.6  -2.0  6.416  11.64  11.47  -38.8 1.
93.0  -9.3  5.332  11.20  11.04  -18.6 	1.
324.9  3.3  9.285  10.08  10.09  -16.1	1.
203.6  -2.6  27.021  10.56  10.79  22.0 1.
203.7  -3.7  15.232  12.16  12.26  27.1 1.
214.1  -0.8  8.702  13.57  13.58  51.0	1.
213.4  1.2  4.032  12.45  12.27  59.5	2.5
214.0  1.3  7.428  13.00  13.04  34.0 	1.
215.5  -1.1  5.457 13.40  13.37  66.4	2.5
217.1  -0.3  3.938  13.40  13.36  66.1	2.5
204.9  1.0  2.705  11.41  11.15  45.4	1.
208.6  -1.8  5.381  11.50  11.37  18.9	2.5
220.0  3.8  4.809  12.87  12.70  68.9	2.5
221.7  -0.1  4.497  12.86  12.75  88.7	2.5
221.5  1.0  3.288  13.87  13.76  85.8	1.
214.9  3.7  2.713  12.36  12.13  60.7	1.
208.9  0.9  4.134  12.67  12.54  58.8	1.
302.1  -6.5  7.510  9.83  9.77  0.1	1.
299.6  -7.5  9.659  9.78  9.72  -1.7	1.
296.5  -5.3  3.086  10.63  10.36  -5.5	1.
296.6  -3.0  4.945  12.62  12.39  -24.6	2.5
296.8  -3.2  11.636  12.76  12.72  -17.0 1.
327.8  -5.4  9.754  9.82  9.78  5.8	1.
325.6  -0.2  12.641  10.76  10.72  -21.8 1.
329.1  -1.2  6.198  11.36  11.26  -40.5 2.5
327.5  -0.7  12.645  11.98  11.80  -32.9 1.
330.4  0.3  10.784  12.36  12.89  -56.6 1
330.5  -1.7  3.453  10.90  10.66 -24.5	2.5
20.6  10.1  17.123  9.06  9.05  -6.6	1.
9.9  7.1  4.068  9.49  9.28  -29.0	1.
196.6  0.3  7.567  11.30  11.19  40.5	1.
195.9  -3.9  4.911 13.83  13.83  22.4	2.5
198.0  -4.5  3.889  13.26  13.15  15.5	1.
199.8  -4.3  8.616  12.02  12.03  43.9	1.
162.6  -1.5  11.129  12.34  12.29  -4.5	5.
158.9  -6.4  4.290  12.48  12.42 5.5	1.
133.6  -3.1  4.566  13.50  13.35  -41.5	1.
135.9  -1.4  5.365  11.92  11.77  -45.0	2.5
132.8  -3.0  10.895  12.15  12.13  -35.4 1.
135.1  -1.7  5.532  11.74  11.61  -39.5 1.
166.6  -5.4  6.463  9.77  9.59  6.9 1.
135.9  -5.2  7.570  9.38  9.26  -26.1 1.
236.1  -0.8  25.961  12.59  12.73  65.3 1.
252.4  -0.2  41.388  11.37  11.62  22.1	1.
237.0  -1.3  3.012  10.56  10.31  8.8	1.
243.4  -3.3  23.164  13.62  13.74  63.3	1.
241.2  -1.4  8.938  12.18  12.13  54.6	1.
241.8  3.3  5.027 13.06  12.94  64.0	1.
246.2  0.1  30.018  12.63  12.82  59.5	1.
254.3  -1.6  6.665  11.18  11.06  26.7  5.
244.5  -1.0  7.199  12.83  12.76  64.4	2.5
247.9  1.0  13.674  12.98  13.07  65.7	2.5
244.8  0.8  13.453  14.67  14.79  116.2	2.5
246.4  0.1  14.146  13.26  13.38  77.4	1.
261.3  -12.9  5.695  9.02  8.86  12.7	1.
55.2  -6.1  8.382  9.19  9.11 -10.1	5.
54.9  -0.6  51.370  12.06  12.28  15.6	2.5
13.7  -4.5  6.745  8.96  8.85  2.6  	1.
1.6  -4.0  7.595  8.24  8.12  -28.3	1.
1.2  0.2  7.012  7.92  7.75  -13.7	5.
12.8  -2.1  5.773  8.50  8.36  -2.5	1.
12.1  -1.3  21.850  11.32  11.43  -15.7	1.
15.0  -1.9  6.424  10.96  10.74  2.0	1.
17.8  -7.1  9.424  10.43  10.36  18.5	1.
8.1  -2.4  5.058  9.62  9.44  -15.0	1.
7.5  -0.6  15.409  11.81  11.80  19.1	2.5
13.3  -2.4  6.570  11.34  11.13  -26.5	1.
14.7  -9.0  6.637  9.53  9.42  7.6	5.
13.8  -8.0  5.145  9.84  9.65  13.1	5.
2.9  -0.5  5.750  10.63  10.43  -0.9	2.5
350.4  5.7  6.061  9.52  9.35  -16.6	5.
356.5  -3.4  20.311  10.98  10.93  -17.7 1.
340.4  -0.7  28.675  11.83  12.00  -22.1 1.
349.8  0.3  16.262  10.64  10.64  -2.8	2.5
354.4  0.2  4.528  9.91  9.72  10.7	5.
359.0  -1.4  9.317  10.84  10.74  -10.8 5.
343.5  -5.2  6.797  9.44  9.35  8.3	1.
19.0  -1.6  4.198  11.21  10.94  11.1	2.5
24.0  -0.9  10.342  11.00  10.95  12.3	5.
26.8  -0.8  12.901  12.26  12.21  37.2	1.
28.4  0.2  19.698  11.52  11.51  -4.8	2.5
24.2  -1.8  3.671  9.88  9.66  -8.6	1.
28.9  -1.7  6.411  11.46  11.29  -2.4	2.5
26.3  -0.5  7.415  11.39  11.32  -0.4	2.5
27.2  -0.4  3.917  11.54 11.29  40.8	2.5
28.1  0.0  9.992  12.10  12.05  19.7	2.5
23.5  -0.5  3.091  10.80  10.48  17.5	1.
21.6  -0.8  6.294  11.32  11.07  -8.4	1.
30.8  1.8  17.141  12.14  12.11  -44.3	2.5
193.1  -8.1  4.034  10.14  9.95  0.5	1.
179.5  -18.7  3.149  8.26  8.04  0.3	1.
317.0  -7.8  3.389  8.95  8.72  -13.2	1.
322.1  8.2  6.323  9.65  9.52  3.9	1.
323.2  -8.0  2.569  9.95  9.69  -13.1	1.
123.3  26.5  3.970  4.92  4.74  -17.4	5.
265.5  -3.8  4.640  10.18  10.03  5.7	1.
276.6  -4.2  4.371  10.08  9.88  -27.9	1.
262.9  -1.9  20.397  11.11 11.19  24.1	1.
268.8  -4.8  5.858  11.35  11.26  7.4	2.5
286.0  2.4  14.097  12.11  12.07  3.5	1.
266.2  -3.0  23.474  12.27  12.39  22.9	1.
265.5  -2.2  9.550  11.73  11.66  30.9	1.
284.8  2.2  6.985  12.70  12.54  15.0	1.
283.0  0.6  6.246  13.01  12.83  28.1	2.5
276.1  -0.6  7.134  12.04  11.89  14.8	2.5
262.4  -7.0  3.128  8.22  7.97  24.2	1.
263.0  -1.4  3.128  11.12  10.87  26.3	1.
263.3  -7.7  2.594  9.96  9.68  22.1	1.
271.9  -2.6  6.924  9.68  9.62  7.9	1.
259.8  -1.3  7.201  11.04  10.94  51.6	2.5
267.6  -3.2  9.841  13.92  13.92  73.9	2.5
272.4  -3.4  6.255  12.43  12.31  16.0	2.5
271.5  -1.4  13.195  14.25  14.23  26.0	2.5
275.4  -1.3  5.484  12.46  12.28  29.8	2.5
273.2  1.3  11.200  11.24  11.28  20.6  1.
274.1  -2.2  13.234  13.33  13.37  33.5	2.5
72.1  -10.2  4.435  8.74  8.54  -0.9	1.
56.1  -0.3  7.991  9.05  8.92  -12.1	1.
63.8  -1.3  6.320  9.98  9.78  -16.1	1.
63.9  0.3  45.103  11.49  11.67  1.9	1.
64.9  -0.9  13.608  11.93  11.89  2.6	2.5
