source	d[kpc]	err_d[kpc]	Vr[km/s]	err_vr[km/s]	l[deg]	b[deg]
S148	5.5	1.8		-51.9		0.7		108.34	-1.05
S306	4.2	0.4		45.3		0.7		234.31	-0.36
MONR2	0.83	0.15		10.3		1.0		213.9	-12.9
